dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.700271,4.237720,1.988636,0.875072,-2.655475,5.363717,5.962738
0.020000,4.715954,4.232649,2.005118,0.824101,-2.548521,5.347691,5.978540
0.020000,4.730782,4.228119,2.020624,0.775262,-2.441958,5.328173,5.995042
0.020000,4.744786,4.224095,2.035194,0.728536,-2.336274,5.284163,6.012083
0.020000,4.757996,4.220546,2.048872,0.683895,-2.232057,5.210844,6.029507
0.020000,4.770439,4.217435,2.061698,0.641292,-2.130143,5.095702,6.047159
0.020000,4.782143,4.214729,2.073711,0.600664,-2.031404,4.936985,6.064891
0.020000,4.793136,4.212391,2.084950,0.561929,-1.936745,4.732923,6.082559
0.020000,4.803443,4.210388,2.095450,0.524989,-1.847011,4.486707,6.100029
0.020000,4.813088,4.208686,2.105244,0.489730,-1.762984,4.201380,6.117173
0.020000,4.822096,4.207253,2.114365,0.456024,-1.685272,3.885596,6.133873
0.020000,4.830486,4.206060,2.122840,0.423739,-1.614266,3.550258,6.150024
0.020000,4.838279,4.205077,2.130694,0.392733,-1.550279,3.199372,6.165528
0.020000,4.845492,4.204278,2.137952,0.362868,-1.493271,2.850401,6.180299
0.020000,4.852141,4.203638,2.144632,0.334002,-1.443273,2.499892,6.194262
0.020000,4.858241,4.203134,2.150752,0.306005,-1.399879,2.169704,6.207352
0.020000,4.863802,4.202746,2.156327,0.278751,-1.362664,1.860766,6.219511
0.020000,4.868836,4.202453,2.161369,0.252127,-1.331239,1.571260,6.230693
0.020000,4.873352,4.202239,2.165890,0.226025,-1.305081,1.307901,6.240858
0.020000,4.877356,4.202087,2.169897,0.200353,-1.283599,1.074070,6.249974
0.020000,4.880855,4.201985,2.173398,0.175031,-1.266100,0.874937,6.258014
0.020000,4.883854,4.201920,2.176397,0.149990,-1.252074,0.701304,6.264957
0.020000,4.886357,4.201882,2.178901,0.125165,-1.241247,0.541352,6.270787
0.020000,4.888367,4.201862,2.180911,0.100508,-1.232810,0.421863,6.275491
0.020000,4.889887,4.201853,2.182430,0.075975,-1.226670,0.307013,6.279059
0.020000,4.890917,4.201850,2.183461,0.051534,-1.222037,0.231648,6.281486
0.020000,4.891460,4.201849,2.184004,0.027147,-1.219380,0.132832,6.282766
0.020000,4.891624,4.201849,2.184168,0.008182,-0.948258,13.556105,6.283152
0.020000,4.891638,4.201849,2.184182,0.000698,-0.374194,28.703224,6.283185
0.020000,4.891638,4.201849,2.184182,0.000000,-0.034886,16.965391,6.283185
