dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.509260,3.742889,1.793589,1.297089,-1.194962,-5.383225,5.947795
0.020000,4.533325,3.734699,1.819010,1.271047,-1.302123,-5.358086,5.962738
0.020000,4.556978,3.727054,1.843867,1.242865,-1.409106,-5.349118,5.978540
0.020000,4.580171,3.719969,1.868118,1.212553,-1.515611,-5.325276,5.995042
0.020000,4.602856,3.713453,1.891721,1.180126,-1.621309,-5.284877,6.012083
0.020000,4.624984,3.707508,1.914633,1.145617,-1.725472,-5.208176,6.029507
0.020000,4.646503,3.702130,1.936815,1.109070,-1.827369,-5.094844,6.047159
0.020000,4.667364,3.697307,1.958226,1.070548,-1.926094,-4.936249,6.064891
0.020000,4.687516,3.693022,1.978828,1.030133,-2.020747,-4.732620,6.082559
0.020000,4.706912,3.689253,1.998587,0.987924,-2.110437,-4.484530,6.100029
0.020000,4.725505,3.685972,2.017467,0.944035,-2.194456,-4.200953,6.117173
0.020000,4.743254,3.683150,2.035439,0.898591,-2.272196,-3.886991,6.133873
0.020000,4.760119,3.680752,2.052474,0.851728,-2.343140,-3.547195,6.150024
0.020000,4.776064,3.678741,2.068546,0.803585,-2.407178,-3.201926,6.165528
0.020000,4.791059,3.677081,2.083632,0.754303,-2.464069,-2.844522,6.180299
0.020000,4.805074,3.675732,2.097712,0.704018,-2.514244,-2.508761,6.194262
0.020000,4.818087,3.674658,2.110769,0.652864,-2.557701,-2.172848,6.207352
0.020000,4.830077,3.673820,2.122789,0.600969,-2.594763,-1.853102,6.219511
0.020000,4.841028,3.673183,2.133758,0.548447,-2.626120,-1.567832,6.230693
0.020000,4.850925,3.672713,2.143666,0.495400,-2.652364,-1.312199,6.240858
0.020000,4.859757,3.672380,2.152504,0.441919,-2.674029,-1.083280,6.249974
0.020000,4.867515,3.672153,2.160266,0.388090,-2.691424,-0.869712,6.258014
0.020000,4.874194,3.672008,2.166946,0.333987,-2.705190,-0.688311,6.264957
0.020000,4.879786,3.671922,2.172539,0.279659,-2.716378,-0.559432,6.270787
0.020000,4.884289,3.671877,2.177042,0.225166,-2.724675,-0.414841,6.275491
0.020000,4.887700,3.671857,2.180453,0.170542,-2.731157,-0.324115,6.279059
0.020000,4.890017,3.671850,2.182770,0.115840,-2.735113,-0.197778,6.281486
0.020000,4.891238,3.671849,2.183991,0.061072,-2.738410,-0.164826,6.282766
0.020000,4.891606,3.671849,2.184359,0.018413,-2.132955,30.272752,6.283152
0.020000,4.891638,3.671849,2.184391,0.001570,-0.842126,64.541445,6.283185
0.020000,4.891638,3.671849,2.184391,0.000000,-0.078519,38.180351,6.283185
