dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.976691,16.556945,7.400401,8.785884,-5.407348,-220.769858,6.068863
0.020000,12.145733,16.520209,7.573388,8.649352,-6.826609,-70.963038,6.069571
0.020000,12.312150,16.484190,7.743658,8.513536,-6.790785,1.791182,6.070547
0.020000,12.475965,16.448924,7.911227,8.378425,-6.755535,1.762539,6.071778
0.020000,12.637200,16.414442,8.076107,8.244007,-6.720940,1.729754,6.073254
0.020000,12.795872,16.380771,8.238312,8.110271,-6.686792,1.707378,6.074963
0.020000,12.952001,16.347938,8.397857,7.977205,-6.653277,1.675763,6.076896
0.020000,13.105604,16.315963,8.554753,7.844802,-6.620166,1.655519,6.079041
0.020000,13.256698,16.284864,8.709014,7.713049,-6.587638,1.626412,6.081388
0.020000,13.405297,16.254657,8.860652,7.581939,-6.555529,1.605479,6.083927
0.020000,13.551417,16.225353,9.009682,7.451462,-6.523821,1.585404,6.086647
0.020000,13.695071,16.196964,9.156114,7.321612,-6.492497,1.566159,6.089539
0.020000,13.836272,16.169495,9.299961,7.192378,-6.461703,1.539703,6.092593
0.020000,13.975031,16.142952,9.441237,7.063756,-6.431132,1.528588,6.095799
0.020000,14.111360,16.117336,9.579951,6.935733,-6.401143,1.499422,6.099146
0.020000,14.245269,16.092649,9.716117,6.808305,-6.371384,1.487951,6.102627
0.020000,14.376769,16.068887,9.849747,6.681464,-6.342072,1.465589,6.106231
0.020000,14.505868,16.046046,9.980851,6.555202,-6.313059,1.450647,6.109949
0.020000,14.632576,16.024121,10.109441,6.429513,-6.284463,1.429821,6.113773
0.020000,14.756899,16.003104,10.235529,6.304388,-6.256275,1.409409,6.117692
0.020000,14.878847,15.982986,10.359125,6.179819,-6.228455,1.390981,6.121698
0.020000,14.998427,15.963754,10.480241,6.055800,-6.200949,1.375308,6.125782
0.020000,15.115645,15.945398,10.598887,5.932321,-6.173940,1.350438,6.129936
0.020000,15.230507,15.927903,10.715075,5.809375,-6.147301,1.331968,6.134152
0.020000,15.343021,15.911253,10.828814,5.686953,-6.121076,1.311230,6.138420
0.020000,15.453192,15.895433,10.940115,5.565048,-6.095285,1.289557,6.142732
